,address,categories,city,country,latitude,longitude,menus max amount,menus min amount,menus name,postal code,postalCode,province
60,11165 S Eastern Ave,"Pizza Place,Pizza,Take Out Restaurants,Caterers,Italian Restaurants,Restaurants",Henderson,US,35.98879,-115.101074,16.99,13.99,White Pizza,Joey's N Y Pizza,89052,NV
61,21100 91st Pl S,"Keymakers,Locks & Locksmiths",Kent,US,47.413195,-122.218841,1.75,1.75,Pizza Toppings,Keyme,98031,WA
62,264 Lakeside Ave,"Restaurants,Bars & Pubs",Laconia,US,43.607478,-71.459311,15.0,15.0,Pizza,Tower Hill Tavern,3246,Weirs Beach
63,1431 Plaza Pl,Restaurant,Southlake,US,32.945053,-97.12952,8.95,8.95,Sausage Onion Jam Pizza,Brio Tuscan Grille - Southlake - Southlake Town Square,76092,TX
64,3505 A Longmire Dr,"Restaurant,Pizza Place",College Station,US,30.582817,-96.28639,13.99,13.99,Cheese Pizza,Doubledave's Pizza Works,77845,TX
65,3505 A Longmire Dr,"Restaurant,Pizza Place",College Station,US,30.582817,-96.28639,3.99,3.99,Chocolate Chip Pizza,Doubledave's Pizza Works,77845,TX
70,711 N 132nd St,"Pizza Place,Take Out Restaurants,Restaurants,Pizza",Omaha,US,41.266346,-96.119545,16.24,16.24,White Pizza,Frank's Pizzeria,68154,NE
71,190 N Swift Rd,"Pizza Place,Restaurant",Addison,US,41.9317,-88.0421,6.7,6.7,Cheese Pizzarito,Casino's Pizza,60101,IL
72,190 N Swift Rd,"Pizza Place,Restaurant",Addison,US,41.9317,-88.0421,2.76,2.76,Pizza Slices,Casino's Pizza,60101,IL
73,11651 W 64th Ave,"Bakery,Bakery Restaurants,Food Products Retail,Variety Stores,Organic Foods & Products,Bakeries,Restaurant,Bakery Northwest Arvada",Arvada,US,39.812937,-105.12940400000001,7.99,7.99,Pizza Dough Balls,Glutenfree Things,80004,CO
74,11651 W 64th Ave,"Bakery,Bakery Restaurants,Food Products Retail,Variety Stores,Organic Foods & Products,Bakeries,Restaurant,Bakery Northwest Arvada",Arvada,US,39.812937,-105.12940400000001,7.99,7.99,Pizza Dough Flats,Glutenfree Things,80004,CO
75,22 Englar Rd,Italian Restaurant,Westminster,US,39.58133698,-76.98956,15.95,9.0,Margherita Pizza,Mediterraneo Ristorante,21157,MD
76,50a,"Pub,Sports Bar",Hermosa Beach,US,33.861999999999995,-118.400769,9.75,9.75,Build Your Own Pizza,Patrick Molloy's Sports Pub,90254,CA
77,50a,"Pub,Sports Bar",Hermosa Beach,US,33.861999999999995,-118.400769,11.5,11.5,Build Your Own Pizza,Patrick Molloy's Sports Pub,90254,CA
78,50a,"Pub,Sports Bar",Hermosa Beach,US,33.861999999999995,-118.400769,3.0,3.0,Cheese Pizza,Patrick Molloy's Sports Pub,90254,CA
79,19 Kelly St,"Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurants,Pizza",Luzerne,US,41.285007,-75.89834599999999,13.95,13.95,Chicken Wing Pizza,Salerno's Pizza Restaurant,18709,PA
80,19 Kelly St,"Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurants,Pizza",Luzerne,US,41.285007,-75.89834599999999,9.95,9.95,Neapolitan Style Pizza,Salerno's Pizza Restaurant,18709,PA
81,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,19.95,19.95,Blt Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
82,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,11.95,11.95,Cheese Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
83,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,11.95,11.95,Cheese Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
84,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,2.0,2.0,Cheese Pizza Slice,Nino's Trattoria & Pizzeria,8648,Lawrenceville
85,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,22.95,22.95,Cheesesteak Stuffed Cheese Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
86,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,22.95,22.95,Cheesesteak Stuffed Cheese Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
87,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,19.95,19.95,Chicken Alfredo Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
88,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,19.95,19.95,Chicken Parmigiana Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
89,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,19.95,19.95,Chicken Wing Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
90,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,19.95,19.95,Chicken Wing Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
91,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,15.95,15.95,Margherita Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
92,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,15.95,15.95,Margherita Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
93,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,15.95,15.95,Old Fashion Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
94,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,15.95,15.95,Old Fashion Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
95,111 Lawrence Rd,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Lawrence Township,US,40.24614006,-74.74381959,12.95,12.95,Old Fashion Tomato Pizza,Nino's Trattoria & Pizzeria,8648,Lawrenceville
